filename,Participant,Session,Block,Trial,OnsetDelay,Bias,Prime,Probe,Response1,Response2,RT1,RT2
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,37,0.6793065493383761,right,stripes-8,heavy poles sphere,right,right,0.27725930231417806,0.2399113424062307
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,38,0.5116602428787766,right,stripes-2,stripes-4,right,right,0.38761978244838247,0.26376598226670467
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,39,0.6309744933144356,right,stripes-4,heavy poles sphere,right,right,0.3598662361296192,0.2716574037704049
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,40,0.6064046107427469,left,stripes-4,stripes-8,right,right,0.2132126808846806,0.2959698238259989
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,41,0.6435813653736967,left,stripes-2,stripes-8,right,right,0.37413330422441504,0.23990947645415872
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,42,0.6419718549890454,left,stripes-2,heavy poles sphere,right,right,0.27629895907875834,0.2799478279853247
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,43,0.6337437668198933,right,stripes-8,stripes-8,right,right,0.4031581857598212,0.20794758665533664
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,44,0.5486087745982167,left,stripes-8,stripes-4,right,right,0.348083060981935,0.2158253245124797
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,45,0.5521478955514407,left,heavy poles sphere,stripes-2,right,right,0.2556736599431133,0.255884823498036
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,46,0.6559196038499487,left,stripes-8,stripes-2,right,right,0.22392697659506666,0.23995519227537443
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,2,47,0.6002246365870765,right,heavy poles sphere,stripes-8,right,right,0.2455480720518608,0.28782401088210463
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,0,0.6922794893180294,right,stripes-2,stripes-4,right,right,0.2679845884813403,0.2478183135094696
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,1,0.5120463321469532,right,stripes-2,stripes-2,right,right,0.5383296060940665,0.19187365515381316
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,2,0.5795751954129535,left,stripes-8,stripes-2,right,right,0.35710618230268665,0.23998629147354222
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,3,0.6927586090270759,right,stripes-4,heavy poles sphere,right,right,0.2180538930442708,0.25587798167453
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,4,0.6430689070855753,left,stripes-2,stripes-8,right,right,0.2048606802577524,0.23981275794858448
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,5,0.5865655497444808,left,stripes-4,stripes-2,right,right,0.19536920501423083,0.23969147107573008
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,6,0.6826421930901553,right,stripes-4,stripes-4,right,right,0.36614982909441096,0.3278337511510472
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,7,0.6959490623129403,left,heavy poles sphere,heavy poles sphere,right,right,0.26426947828304037,0.26382507074276873
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,8,0.6370244042639855,right,heavy poles sphere,stripes-2,right,right,0.3145360450589578,0.3518628575125149
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,9,0.5739764652078426,right,stripes-8,stripes-4,right,right,0.440038102737617,0.26393485091193725
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,10,0.6440349269262086,right,stripes-8,stripes-8,right,right,0.33757650791449123,0.28784702428902165
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,11,0.6776306450655923,right,stripes-4,stripes-8,right,right,0.20424025125703338,0.3038282801803689
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,12,0.5337572888118304,right,stripes-2,heavy poles sphere,right,right,0.23523744393196466,0.2958696844084443
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,13,0.5661976768947359,left,stripes-8,heavy poles sphere,right,right,0.28019973148957433,0.2479657237081483
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,14,0.6421669550145409,left,heavy poles sphere,stripes-8,right,right,0.23311367969745334,0.2798144124258215
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,15,0.5994793908312777,left,heavy poles sphere,stripes-4,right,right,0.357467554984396,0.3198670695878718
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,16,0.602610077680842,left,stripes-4,stripes-2,right,right,0.1697322701138546,0.29571325544247884
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,17,0.6650352465192912,right,stripes-8,heavy poles sphere,right,right,0.3811772725816809,0.29586346456881074
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,18,0.5813062049950638,left,heavy poles sphere,heavy poles sphere,right,right,0.3488524551416958,0.23973905284901775
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,19,0.6359198964275518,right,stripes-4,stripes-4,right,right,0.3462740206318813,0.23983328341910237
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,20,0.5651272703017663,left,stripes-8,stripes-2,right,right,0.39512059802518706,0.23182430694669165
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,21,0.522278283562415,right,stripes-2,stripes-2,right,right,0.26072603565808095,0.23183581364992278
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,22,0.6534711231591258,right,stripes-2,heavy poles sphere,right,right,0.27965487354003926,0.3038553364822292
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,23,0.6734656003343523,left,stripes-4,stripes-8,right,right,0.26049279167227724,0.2798514204714593
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,24,0.6645593022461647,left,stripes-8,stripes-8,right,right,0.2753572753622393,0.2638123200717928
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,25,0.5674262325309876,right,stripes-4,heavy poles sphere,right,right,0.2317670844222448,0.2558251130380995
Data/shape-specificity-stripes-AKM1995M-2019-06-12-14-07-17.csv,AKM1995M,2019-06-12-14-07-17,3,26,0.6789741342863551,right,heavy poles sphere,stripes-8,right,right,0.33721358027332826,0.23183456968172322
